Name,Transcript,Cleaned Transcript,Transcript_ID
A (26).wav,Ket naidatag ti kawitan iti ari. ,ket naidatag ti kawitan iti ari ,18
A (27).wav,"Apagapaman a nagtakder ti kawitan iti sango ti ari sa idi kuan, inawaganna ti mabisin a leon manipud iti lapayagna. ",apagapaman a nagtakder ti kawitan iti sango ti ari sa idi kuan inawaganna ti mabisin a leon manipud iti lapayagna ,19
A (28).wav,"Limmagto a rimmuar ti agung-ungor a leon nga uray la nga agpallayog ti nakaal-aliaw a dutdot iti tengngedna, pinagparrangna dagiti nadawis a kukona ken natadem a ngipenna. ",limmagto a rimmuar ti agung-ungor a leon nga uray la nga agpallayog ti nakaal-aliaw a dutdot iti tengngedna pinagparrangna dagiti nadawis a kukona ken natadem a ngipenna ,20
A (29).wav,"nagtataray dagiti kortesano ken guardia, pinanawanda ti ari iti kaasi ti leon ken ti kawitan. ",nagtataray dagiti kortesano ken guardia pinanawanda ti ari iti kaasi ti leon ken ti kawitan ,21
A (3).wav,"Adu met ti dagdagana a paggapuan ti dakkel a matgedanna Iti maysa a tawen, idi ad-adu nga amang ti naapit, sinarungkaran ti ari ti talonna ket naragsakan a nakakita kadagiti natatayag a mandala ti trigo a nakasaysayaat ti pannakaatar-atarda.",adu met ti dagdagana a paggapuan ti dakkel a matgedanna iti maysa a tawen idi ad-adu nga amang ti naapit sinarungkaran ti ari ti talonna ket naragsakan a nakakita kadagiti natatayag a mandala ti trigo a nakasaysayaat ti pannakaatar-atarda,22
A (30).wav,"Nagpakleb ti ari iti sakaanan dagiti karaykay ti kawitan sa insangitna: Ay, naimbag nga Apo Kawitan, ay, Natan-ok nga Apo Kawitan, pangngaasim, ay, pangngaasim ta awatem ti ima ti anakko tapno ikasarmo. ",nagpakleb ti ari iti sakaanan dagiti karaykay ti kawitan sa insangitna ay naimbag nga apo kawitan ay natan-ok nga apo kawitan pangngaasim ay pangngaasim ta awatem ti ima ti anakko tapno ikasarmo ,23
A (31).wav,Ket napasamak ti nangayed a seremonia ti kallaysa a napno iti ragragsak ken padaya. ,ket napasamak ti nangayed a seremonia ti kallaysa a napno iti ragragsak ken padaya ,24
A (32).wav,Pangngaasim ta dinak patpatayen ken dagiti iturayak. ,pangngaasim ta dinak patpatayen ken dagiti iturayak ,25
A (33).wav,"Nagsala ken nagkanta ti tunggal maysa, agraman ti asolang, ti lobo, ken ti hiena, ken ti leon. ",nagsala ken nagkanta ti tunggal maysa agraman ti asolang ti lobo ken ti hiena ken ti leon ,26
A (34).wav,"Kas sab-ong ti ari, intedna iti anakna ti kagudua ti pagarianna. ",kas sab-ong ti ari intedna iti anakna ti kagudua ti pagarianna ,27
A (35).wav,Ket nagbiag a naragsak ti kawitan ken ti nobiana ingga't inggana.,ket nagbiag a naragsak ti kawitan ken ti nobiana inggat inggana,28
A (36).wav,Ti Ari Ken Ti Kawitan,ti ari ken ti kawitan,29
A (37).wav,Adu met ti dagdagana a paggapuan ti dakkel a matgedanna iti tinawen. ,adu met ti dagdagana a paggapuan ti dakkel a matgedanna iti tinawen ,30
A (38).wav,Adda agpapaay kenkuana a maipagpannakkel ken nagaget a kawitan nga agtrabtrabaho iti aldaw ken rabii iti sanikuana.,adda agpapaay kenkuana a maipagpannakkel ken nagaget a kawitan nga agtrabtrabaho iti aldaw ken rabii iti sanikuana,31
A (39).wav,Napalalo ti suron ti ari iti pannakaimatangna a panagpukaw dagiti binunton a trigo.,napalalo ti suron ti ari iti pannakaimatangna a panagpukaw dagiti binunton a trigo,32
A (4).wav,"Immasideg ti kawitan nga umis-isem sa kinunana: Itedmo koma kaniak, Napateg nga Ari, ti bingayko iti trigo a kas suedok iti adu a rigrigatko a nagtrabaho.",immasideg ti kawitan nga umis-isem sa kinunana itedmo koma kaniak napateg nga ari ti bingayko iti trigo a kas suedok iti adu a rigrigatko a nagtrabaho,33
A (40).wav,"Ita, batangna metten ti agkiddaw iti bingayna.",ita batangna metten ti agkiddaw iti bingayna,34
A (41).wav,"Ngem diyo kad’ malagip, Napateg nga Ari, a mabalinko nga alaen iti amin a maikargak kadagiti lapayagko ",ngem diyo kad’ malagip napateg nga ari a mabalinko nga alaen iti amin a maikargak kadagiti lapayagko ,35
A (42).wav,Isu a kukuak amin dagitoy.,isu a kukuak amin dagitoy,36
A (43).wav,Saan a nakatimek ti ari.,saan a nakatimek ti ari,37
A (44).wav,"Agyamanak unay, Napateg nga Ari, kinuna ti kawitan.",agyamanak unay napateg nga ari kinuna ti kawitan,38
A (45).wav,"Ita, mapanak iti adayo a pagarian ta innak kiddawen ti ima ti anak ti ari tapno ikasarko.",ita mapanak iti adayo a pagarian ta innak kiddawen ti ima ti anak ti ari tapno ikasarko,39
A (46).wav,Nagnan ti kawitan iti naunday a pangdaliasatna. ,nagnan ti kawitan iti naunday a pangdaliasatna ,40
A (47).wav,Di nagbayag nakangngeg iti panangawag ti maysa nga asolang kenkuana ket nagsardeng.,di nagbayag nakangngeg iti panangawag ti maysa nga asolang kenkuana ket nagsardeng,41
A (48).wav,Pampanam  dinamag ti asolang. ,pampanam  dinamag ti asolang ,42
A (49).wav,Isu daytoy ‘tay aglanglanga aso nga ayup.,isu daytoy ‘tay aglanglanga aso nga ayup,43
A (5).wav,"Nagkuretret ti mugging ti ari, nagpanunot iti apagapaman sa kinunana: Mangalaka iti kaykayatmo ken kabaelam nga ikabil kadagita lapayagmo. ",nagkuretret ti mugging ti ari nagpanunot iti apagapaman sa kinunana mangalaka iti kaykayatmo ken kabaelam nga ikabil kadagita lapayagmo ,44
A (50).wav,Mapanak iti adayo a pagilian ta innak kiddawen ti ima ti anak ti ari tapo ikasarko. insungbat ti kawitan.,mapanak iti adayo a pagilian ta innak kiddawen ti ima ti anak ti ari tapo ikasarko insungbat ti kawitan,45
A (51).wav,Pangngaasim ta ikuyognak.  ,pangngaasim ta ikuyognak  ,46
A (52).wav,"Adayo ken narigat ti dalan ket masansan nga awanto ti kanem ken inumem,",adayo ken narigat ti dalan ket masansan nga awanto ti kanem ken inumem,47
A (53).wav,Ngem nagpilit ti asolang a sumurot. ,ngem nagpilit ti asolang a sumurot ,48
A (54).wav,"Kalpasan ti sumagmamano nga oras a pannagnada, nabannog unayen ti asolang ket kinunana a saanen a makapagna pay.",kalpasan ti sumagmamano nga oras a pannagnada nabannog unayen ti asolang ket kinunana a saanen a makapagna pay,49
A (55).wav,Ket kiniddaw ti kawitan nga agtugaw ti asolang iti lapayagna. ,ket kiniddaw ti kawitan nga agtugaw ti asolang iti lapayagna ,50
A (56).wav,Inaramid ti asolang dayta ket nagtuloyda a dua - ti kawitan ken ti asolang - a nagdaliasat. ,inaramid ti asolang dayta ket nagtuloyda a dua - ti kawitan ken ti asolang - a nagdaliasat ,51
A (57).wav,"Madamdama pay, nakasagang ti kawitan iti lobo a nagsaludsod : Papanam  Mapanak iti adayo a pagilian ta innak kiddawen ti ima ti anak ti ari tapno ikasarko. 
","madamdama pay nakasagang ti kawitan iti lobo a nagsaludsod  papanam  mapanak iti adayo a pagilian ta innak kiddawen ti ima ti anak ti ari tapno ikasarko 
",52
A (58).wav,Pangngaasim ta ikuyognak.  ,pangngaasim ta ikuyognak  ,46
A (59).wav,Adayo ken narigat ti dalan ket masansan nga awanto ti kanem ken inumem.,adayo ken narigat ti dalan ket masansan nga awanto ti kanem ken inumem,47
A (6).wav,Dayta ti umno a bingaymo.,dayta ti umno a bingaymo,53
A (60).wav,"Kalpasan ti sumagmamano nga oras a pannagnada, nabannog unayen ti lobo ket kinunana a saanen makapagna pay.",kalpasan ti sumagmamano nga oras a pannagnada nabannog unayen ti lobo ket kinunana a saanen makapagna pay,54
A (61).wav,Ket kiniddaw ti kawitan iti lobo nga agtugaw iti lapayagna. ,ket kiniddaw ti kawitan iti lobo nga agtugaw iti lapayagna ,55
A (62).wav,Nabang-aran ti lobo ket kasta ti inaramidna ket nagtuloyda a tallo- ti kawitan ken ti asolang ken ti lobo- a nagdaliasat.,nabang-aran ti lobo ket kasta ti inaramidna ket nagtuloyda a tallo- ti kawitan ken ti asolang ken ti lobo- a nagdaliasat,56
A (63).wav,Pangngaasim ta ikuyognak. ,pangngaasim ta ikuyognak ,57
A (64).wav,Adayo ken narigat ti dalan ket masansan nga awanto ti kanem ken inumem. ,adayo ken narigat ti dalan ket masansan nga awanto ti kanem ken inumem ,58
A (65).wav,Ngem nagpilit latta ti hiena a sumurot. ,ngem nagpilit latta ti hiena a sumurot ,59
A (66).wav,"Kalpasan ti sumagmamano nga oras a pannagnada, nabannog unayen ti hiena ket kinunana a saanen a makapagna pay. ",kalpasan ti sumagmamano nga oras a pannagnada nabannog unayen ti hiena ket kinunana a saanen a makapagna pay ,60
A (67).wav,Kiniddaw ti kawitan iti hiena nga agtugaw daytoy iti lapayagna.,kiniddaw ti kawitan iti hiena nga agtugaw daytoy iti lapayagna,61
A (68).wav,"Madamdama pay, nakasagang ti kawitan iti leon a nagpilit a kumuyog. ",madamdama pay nakasagang ti kawitan iti leon a nagpilit a kumuyog ,62
A (69).wav,Kamaudiananna nakadanonen ti kawitan iti adayo a pagilian ket kiniddawna a dumatag iti ari. ,kamaudiananna nakadanonen ti kawitan iti adayo a pagilian ket kiniddawna a dumatag iti ari ,63
A (7).wav,"Rinugian ti kawitan a kargaan dagiti lapayagna ket kalpasan ti sumagmamano a kanito, awanen ti nabati a binukel ti trigo iti daga.",rinugian ti kawitan a kargaan dagiti lapayagna ket kalpasan ti sumagmamano a kanito awanen ti nabati a binukel ti trigo iti daga,64
A (70).wav,Naawat iti korte. ,naawat iti korte ,65
A (8).wav,Ngem nagpilit ti lobo a sumurot. ,ngem nagpilit ti lobo a sumurot ,66
A (9).wav,"Madamdama pay, nakasagang ti kawitan iti hiena a nagkuna: Papanam Mapanak iti adayo a pagilian ta innak kiddawen ti ima ti anak ti ari tapno ikasarko.",madamdama pay nakasagang ti kawitan iti hiena a nagkuna papanam mapanak iti adayo a pagilian ta innak kiddawen ti ima ti anak ti ari tapno ikasarko,1
A1 (1).wav,"Idi un-unana nga aldaw, adda maysa nga ari nga agturay iti dakkel a pagarian. ",idi un-unana nga aldaw adda maysa nga ari nga agturay iti dakkel a pagarian ,0
A1 (10).wav,Napalalo ti suron ti ari iti pannakaimatangna a panagpukaw dagiti binunton a trigo.,napalalo ti suron ti ari iti pannakaimatangna a panagpukaw dagiti binunton a trigo,32
A1 (11).wav,"Ita, batangna metten ti agkiddaw iti bingayna.",ita batangna metten ti agkiddaw iti bingayna,34
A1 (12).wav,"Ngem diyo kad’ malagip, Napateg nga Ari, a mabalinko nga alaen iti amin a maikargak kadagiti lapayagko kinuna ti kawitan. ",ngem diyo kad’ malagip napateg nga ari a mabalinko nga alaen iti amin a maikargak kadagiti lapayagko kinuna ti kawitan ,67
A1 (13).wav,Isu a kukuak amin dagitoy.,isu a kukuak amin dagitoy,36
A1 (14).wav,Saan a nakatimek ti ari.,saan a nakatimek ti ari,37
A1 (15).wav,"Agyamanak unay, Napateg nga Ari, kinuna ti kawitan. ",agyamanak unay napateg nga ari kinuna ti kawitan ,68
A1 (16).wav,"Ita, mapanak iti adayo a pagarian ta innak kiddawen ti ima ti anak ti ari tapno ikasarko.",ita mapanak iti adayo a pagarian ta innak kiddawen ti ima ti anak ti ari tapno ikasarko,39
A1 (17).wav,Nagnan ti kawitan iti naunday a pangdaliasatna. ,nagnan ti kawitan iti naunday a pangdaliasatna ,40
A1 (18).wav,Di nagbayag nakangngeg iti panangawag ti maysa nga asolang kenkuana ket nagsardeng.,di nagbayag nakangngeg iti panangawag ti maysa nga asolang kenkuana ket nagsardeng,41
A1 (19).wav,Pampanam  dinamag ti asolang. ,pampanam  dinamag ti asolang ,42
A1 (2).wav,Adu met ti dagdagana a paggapuan ti dakkel a matgedanna iti tinawen.,adu met ti dagdagana a paggapuan ti dakkel a matgedanna iti tinawen,69
A1 (20).wav,Isu daytoy ‘tay aglanglanga aso nga ayup.,isu daytoy ‘tay aglanglanga aso nga ayup,43
A1 (21).wav,Mapanak iti adayo a pagilian ta innak kiddawen ti ima ti anak ti ari tapo ikasarko. insungbat ti kawitan.,mapanak iti adayo a pagilian ta innak kiddawen ti ima ti anak ti ari tapo ikasarko insungbat ti kawitan,45
A1 (22).wav,Pangngaasim ta ikuyognak.  ,pangngaasim ta ikuyognak  ,46
A1 (23).wav,"Adayo ken narigat ti dalan ket masansan nga awanto ti kanem ken inumem,",adayo ken narigat ti dalan ket masansan nga awanto ti kanem ken inumem,47
A1 (24).wav,Ngem nagpilit ti asolang a sumurot. ,ngem nagpilit ti asolang a sumurot ,48
A1 (25).wav,"Kalpasan ti sumagmamano nga oras a pannagnada, nabannog unayen ti asolang ket kinunana a saanen a makapagna pay. ",kalpasan ti sumagmamano nga oras a pannagnada nabannog unayen ti asolang ket kinunana a saanen a makapagna pay ,70
A1 (26).wav,Ket kiniddaw ti kawitan nga agtugaw ti asolang iti lapayagna. ,ket kiniddaw ti kawitan nga agtugaw ti asolang iti lapayagna ,50
A1 (27).wav,Inaramid ti asolang dayta ket nagtuloyda a dua - ti kawitan ken ti asolang - a nagdaliasat. ,inaramid ti asolang dayta ket nagtuloyda a dua - ti kawitan ken ti asolang - a nagdaliasat ,51
A1 (28).wav,"Madamdama pay, nakasagang ti kawitan iti lobo a nagsaludsod ",madamdama pay nakasagang ti kawitan iti lobo a nagsaludsod ,71
A1 (29).wav,Papanam ,papanam ,72
A1 (3).wav,Adda agpapaay kenkuana a maipagpannakkel ken nagaget a kawitan nga agtrabtrabaho iti aldaw ken rabii iti sanikuana. ,adda agpapaay kenkuana a maipagpannakkel ken nagaget a kawitan nga agtrabtrabaho iti aldaw ken rabii iti sanikuana ,73
A1 (30).wav,Mapanak iti adayo a pagilian ta innak kiddawen ti ima ti anak ti ari tapno ikasarko. ,mapanak iti adayo a pagilian ta innak kiddawen ti ima ti anak ti ari tapno ikasarko ,74
A1 (31).wav,Pangngaasim ta ikuyognak.  ,pangngaasim ta ikuyognak  ,46
A1 (32).wav,Adayo ken narigat ti dalan ket masansan nga awanto ti kanem ken inumem.,adayo ken narigat ti dalan ket masansan nga awanto ti kanem ken inumem,47
A1 (33).wav,Ngem nagpilit ti lobo a sumurot. ,ngem nagpilit ti lobo a sumurot ,66
A1 (34).wav,"Kalpasan ti sumagmamano nga oras a pannagnada, nabannog unayen ti lobo ket kinunana a saanen makapagna pay.",kalpasan ti sumagmamano nga oras a pannagnada nabannog unayen ti lobo ket kinunana a saanen makapagna pay,54
A1 (35).wav,Ket kiniddaw ti kawitan iti lobo nga agtugaw iti lapayagna. ,ket kiniddaw ti kawitan iti lobo nga agtugaw iti lapayagna ,55
A1 (36).wav,Nabang-aran ti lobo ket kasta ti inaramidna ket nagtuloyda a tallo- ti kawitan ken ti asolang ken ti lobo- a nagdaliasat.,nabang-aran ti lobo ket kasta ti inaramidna ket nagtuloyda a tallo- ti kawitan ken ti asolang ken ti lobo- a nagdaliasat,56
A1 (37).wav,"Madamdama pay, nakasagang ti kawitan iti hiena a nagkuna: ",madamdama pay nakasagang ti kawitan iti hiena a nagkuna ,75
A1 (38).wav,Papanam,papanam,76
A1 (39).wav,Mapanak iti adayo a pagilian ta innak kiddawen ti ima ti anak ti ari tapno ikasarko.,mapanak iti adayo a pagilian ta innak kiddawen ti ima ti anak ti ari tapno ikasarko,77
A1 (4).wav,"Isu ti agarado, agmula ken agani ken agkiskis iti trigo.",isu ti agarado agmula ken agani ken agkiskis iti trigo,11
A1 (40).wav,Pangngaasim ta ikuyognak. ,pangngaasim ta ikuyognak ,57
A1 (41).wav,Adayo ken narigat ti dalan ket masansan nga awanto ti kanem ken inumem. ,adayo ken narigat ti dalan ket masansan nga awanto ti kanem ken inumem ,58
A1 (42).wav,Ngem nagpilit latta ti hiena a sumurot. ,ngem nagpilit latta ti hiena a sumurot ,59
A1 (43).wav,"Kalpasan ti sumagmamano nga oras a pannagnada, nabannog unayen ti hiena ket kinunana a saanen a makapagna pay. ",kalpasan ti sumagmamano nga oras a pannagnada nabannog unayen ti hiena ket kinunana a saanen a makapagna pay ,60
A1 (44).wav,Kiniddaw ti kawitan iti hiena nga agtugaw daytoy iti lapayagna. ,kiniddaw ti kawitan iti hiena nga agtugaw daytoy iti lapayagna ,78
A1 (45).wav,Kasta ti inaramid ti hiena ket isuda nga uppat - ti kawitan ken ti asolang ken ti lobo ken ti hiena- intuloyda ti nagdaliasat.,kasta ti inaramid ti hiena ket isuda nga uppat - ti kawitan ken ti asolang ken ti lobo ken ti hiena- intuloyda ti nagdaliasat,2
A1 (46).wav,"Madamdama pay, nakasagang ti kawitan iti leon a nagpilit a kumuyog. ",madamdama pay nakasagang ti kawitan iti leon a nagpilit a kumuyog ,62
A1 (47).wav,"Nabannog met a nagna ti naandur a leon ket pinagtugaw ti kawitan iti lapayagna, ket nagtuloy dagiti lima- ti kawitan ken ti asolang ken ti lobo ken ti hiena ken ti leon- a nagdaliasat. ",nabannog met a nagna ti naandur a leon ket pinagtugaw ti kawitan iti lapayagna ket nagtuloy dagiti lima- ti kawitan ken ti asolang ken ti lobo ken ti hiena ken ti leon- a nagdaliasat ,3
A1 (48).wav,Kamaudiananna nakadanonen ti kawitan iti adayo a pagilian ket kiniddawna a dumatag iti ari. ,kamaudiananna nakadanonen ti kawitan iti adayo a pagilian ket kiniddawna a dumatag iti ari ,63
A1 (49).wav,Naawat iti korte. ,naawat iti korte ,65
A1 (5).wav,"Adu met ti dagdagana a paggapuan ti dakkel a matgedanna Iti maysa a tawen, idi ad-adu nga amang ti naapit, sinarungkaran ti ari ti talonna ket naragsakan a nakakita kadagiti natatayag a mandala ti trigo a nakasaysayaat ti pannakaatar-atarda.",adu met ti dagdagana a paggapuan ti dakkel a matgedanna iti maysa a tawen idi ad-adu nga amang ti naapit sinarungkaran ti ari ti talonna ket naragsakan a nakakita kadagiti natatayag a mandala ti trigo a nakasaysayaat ti pannakaatar-atarda,22
A1 (50).wav,Kinuna ti ari: Apay nga immayka iti pagariak,kinuna ti ari apay nga immayka iti pagariak,79
A1 (51).wav,"Immayak, kinuna ti kawitan, ta kiddawek ti ima ti anak ti Napateg nga Ari tapno ikasarko.",immayak kinuna ti kawitan ta kiddawek ti ima ti anak ti napateg nga ari tapno ikasarko,80
A1 (52).wav,"Nainsulto ti ari kadagita a balikas, inawaganna dagiti guardia: Ibellengyo daytoy a parammag a kawitan iti pagipupokan kadagiti manok iti palasio.",nainsulto ti ari kadagita a balikas inawaganna dagiti guardia ibellengyo daytoy a parammag a kawitan iti pagipupokan kadagiti manok iti palasio,81
A1 (53).wav,"Iti dayta met laeng a kanito, nasarakan ti kawitan ti bagina iti pupokan dagiti manok",iti dayta met laeng a kanito nasarakan ti kawitan ti bagina iti pupokan dagiti manok,82
A1 (54).wav,Dinagdagus ti kawitan nga inawagan ti asolang a rummuar iti lapayagna. ,dinagdagus ti kawitan nga inawagan ti asolang a rummuar iti lapayagna ,7
A1 (55).wav,Limmagto ti asolang a rimmuar ket nagpiestaanna dagiti manok.,limmagto ti asolang a rimmuar ket nagpiestaanna dagiti manok,8
A1 (56).wav,Nagpungtot ti ari idi madamagna daytoy ket binilinna dagiti guardia: Ibellengyo dayta a parammag a kawitan iti ubong dagiti karnero!,nagpungtot ti ari idi madamagna daytoy ket binilinna dagiti guardia ibellengyo dayta a parammag a kawitan iti ubong dagiti karnero,9
A1 (57).wav,"Apaman nga addada iti ubong dagiti karnero, inawagan ti kawitan ti lobo a rummuar iti lapayagna.",apaman nga addada iti ubong dagiti karnero inawagan ti kawitan ti lobo a rummuar iti lapayagna,83
A1 (58).wav,Dinagdagus met ti lobo a linamut dagiti amin a karnero. ,dinagdagus met ti lobo a linamut dagiti amin a karnero ,12
A1 (59).wav,Nakarkaro manen ti pungtot ti ari idi madamagna daytoy. ,nakarkaro manen ti pungtot ti ari idi madamagna daytoy ,13
A1 (6).wav,"Immasideg ti kawitan nga umis-isem sa kinunana: Itedmo koma kaniak, Napateg nga Ari, ti bingayko iti trigo a kas suedok iti adu a rigrigatko a nagtrabaho.",immasideg ti kawitan nga umis-isem sa kinunana itedmo koma kaniak napateg nga ari ti bingayko iti trigo a kas suedok iti adu a rigrigatko a nagtrabaho,33
A1 (60).wav,Inyikkisna kadagiti guardiana: Ibellengyo dayta a parammag a kawitan iti ubong dagiti asno ket bay-anyo a payatyatenda! ,inyikkisna kadagiti guardiana ibellengyo dayta a parammag a kawitan iti ubong dagiti asno ket bay-anyo a payatyatenda ,14
A1 (61).wav,Ngem iti daytoy a gundaway inawagan ti kawitan ti mabisinan a hiena a dagdagus met a naglamut kadagiti amin nga asno. ,ngem iti daytoy a gundaway inawagan ti kawitan ti mabisinan a hiena a dagdagus met a naglamut kadagiti amin nga asno ,15
A1 (62).wav,Napalalon ti pungtot ti ari. ,napalalon ti pungtot ti ari ,16
A1 (63).wav,Idatagyo kaniak dayta a parammag a kawitan ta dusaek a mismo kadagitoy imak! ,idatagyo kaniak dayta a parammag a kawitan ta dusaek a mismo kadagitoy imak ,17
A1 (64).wav,Ket naidatag ti kawitan iti ari. ,ket naidatag ti kawitan iti ari ,18
A1 (65).wav,"Apagapaman a nagtakder ti kawitan iti sango ti ari sa idi kuan, inawaganna ti mabisin a leon manipud iti lapayagna. ",apagapaman a nagtakder ti kawitan iti sango ti ari sa idi kuan inawaganna ti mabisin a leon manipud iti lapayagna ,19
A1 (66).wav,"Limmagto a rimmuar ti agung-ungor a leon nga uray la nga agpallayog ti nakaal-aliaw a dutdot iti tengngedna, pinagparrangna dagiti nadawis a kukona ken natadem a ngipenna. ",limmagto a rimmuar ti agung-ungor a leon nga uray la nga agpallayog ti nakaal-aliaw a dutdot iti tengngedna pinagparrangna dagiti nadawis a kukona ken natadem a ngipenna ,20
A1 (67).wav,"nagtataray dagiti kortesano ken guardia, pinanawanda ti ari iti kaasi ti leon ken ti kawitan. ",nagtataray dagiti kortesano ken guardia pinanawanda ti ari iti kaasi ti leon ken ti kawitan ,21
A1 (68).wav,"Nagpakleb ti ari iti sakaanan dagiti karaykay ti kawitan sa insangitna: Ay, naimbag nga Apo Kawitan, ay, Natan-ok nga Apo Kawitan, pangngaasim, ay, pangngaasim ta awatem ti ima ti anakko tapno ikasarmo. ",nagpakleb ti ari iti sakaanan dagiti karaykay ti kawitan sa insangitna ay naimbag nga apo kawitan ay natan-ok nga apo kawitan pangngaasim ay pangngaasim ta awatem ti ima ti anakko tapno ikasarmo ,23
A1 (69).wav,Pangngaasim ta dinak patpatayen ken dagiti iturayak. ,pangngaasim ta dinak patpatayen ken dagiti iturayak ,25
A1 (7).wav,"Nagkuretret ti mugging ti ari, nagpanunot iti apagapaman sa kinunana: Mangalaka iti kaykayatmo ken kabaelam nga ikabil kadagita lapayagmo. ",nagkuretret ti mugging ti ari nagpanunot iti apagapaman sa kinunana mangalaka iti kaykayatmo ken kabaelam nga ikabil kadagita lapayagmo ,44
A1 (70).wav,Ket napasamak ti nangayed a seremonia ti kallaysa a napno iti ragragsak ken padaya. ,ket napasamak ti nangayed a seremonia ti kallaysa a napno iti ragragsak ken padaya ,24
A1 (71).wav,"Nagsala ken nagkanta ti tunggal maysa, agraman ti asolang, ti lobo, ken ti hiena, ken ti leon.",nagsala ken nagkanta ti tunggal maysa agraman ti asolang ti lobo ken ti hiena ken ti leon,84
A1 (72).wav,"Kas sab-ong ti ari, intedna iti anakna ti kagudua ti pagarianna. ",kas sab-ong ti ari intedna iti anakna ti kagudua ti pagarianna ,27
A1 (73).wav,Ket nagbiag a naragsak ti kawitan ken ti nobiana ingga't inggana.,ket nagbiag a naragsak ti kawitan ken ti nobiana inggat inggana,28
